"white = object name
yellow = flags
MHO 5,MHO 5,,,UPP,S,68.06693976,18.21288431,Taurus,II,1.5,,2,144.6215255,13.081,0.202,-17.566,0.114,,,0.11,,,,Muzerolle 2003,,,11.07,0.026,10.39,0.03,10.063,0.022,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M6.0,0.5,"3,000.00",200,0.1000,,,,,,Line Strength,Ca II line flux,-37,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02E+04,4.48,,,,,,,,1.26E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3
MHO 5,MHO 5,,,UPP,S,68.06693976,18.21288431,Taurus,II,1.5,,2,144.6215255,13.081,0.202,-17.566,0.114,,,0.11,,,,Muzerolle 2003,,,11.07,0.026,10.39,0.03,10.063,0.022,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M6.0,0.5,"3,000.00",200,0.1000,,,,,,Line Strength,Ca II line flux,-37,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02E+04,4.48,,,,,,,,2.00E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1
2MASS J03442980+3200545,IC348 205,,,,S,56.12417667,32.01516667,IC348,II,2,,2,490.4364885,3.016,0.94,-7.614,0.501,15.43,0.189,1.21,,,,Muzerolle 2003,,,13.668,0.022,12.867,0.021,12.327,0.023,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M6.0,0.5,"3,000.00",200,0.1000,,,,,,Line Strength,Ca II line flux,-93,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.40,0.10,1.20E+05,5.08,,,,,,,,5.01E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3
2MASS J03442980+3200545,IC348 205,,,,S,56.12417667,32.01516667,IC348,II,2,,2,490.4364885,3.016,0.94,-7.614,0.501,15.43,0.189,1.21,,,,Muzerolle 2003,,,13.668,0.022,12.867,0.021,12.327,0.023,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M6.0,0.5,"3,000.00",200,0.1000,,,,,,Line Strength,Ca II line flux,-93,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.40,0.10,1.20E+05,5.08,,,,,,,,1.00E-10,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1
Cl* IC 348 LRL 382,Cl* IC 348 LRL 382,,,,S,56.1291,32.0456,IC348,II,2,,,,,,,,14.801207,2.610948,2.77,,,,Muzerolle 2003,,,15.534,0.055,14.446,0.049,13.72,0.04,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M5.5,0.5,"3,050.00",200,0.1100,,,,,,Line Strength,Ca II line flux,-15,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.20,0.10,6.61E+04,4.82,,,,,,,,2.51E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3
y,Cl* IC 348 LRL 382,,,,S,56.1291,32.0456,IC348,II,2,,,,,,,,14.801207,2.610948,2.77,,,,Muzerolle 2003,,,15.534,0.055,14.446,0.049,13.72,0.04,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M5.5,0.5,"3,050.00",200,0.1100,,,,,,Line Strength,Ca II line flux,-15,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.20,0.10,6.61E+04,4.82,,,,,,,,5.01E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1
[NC98] Cha HA 6,Cha Ha 6,,,UPP,S,167.16459,-77.57131861,Chamaeleon I,II,2,,2,179.3239487,-23.233,0.232,1.443,0.237,13.18,0.84,0.26,,,,Natta 2004,,,12.263,0.027,11.479,0.024,11.038,0.027,,,Mohanty 2005,Magellan II/MIKE,2002/2003,4,,,M5.75,0.5,"3,025.00",200,0.1200,,,,,,Line Strength,Ca II line flux,-59.6,5.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+04,4.51,,,,,,,,1.58E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",from fit to only low mass accretors
[NC98] Cha HA 6,Cha Ha 6,,,UPP,S,167.16459,-77.57131861,Chamaeleon I,II,2,,2,179.3239487,-23.233,0.232,1.443,0.237,13.18,0.84,0.26,,,,Natta 2004,,,12.263,0.027,11.479,0.024,11.038,0.027,,,Mohanty 2005,Magellan II/MIKE,2002/2003,4,,,M5.75,0.5,"3,025.00",200,0.1200,,,,,,Line Strength,Ca II line flux,-59.6,5.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+04,4.51,,,,,,,,2.51E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",from fit to higher mass CTTS and low mass accretors
2MASS J16262152-2426009,GY 5,,,UPP,S,246.5897456,-24.43361126,p Oph,III,1,,2,136.5933616,-9.05,0.403,-25.287,0.25,,,5,,,,Muzerolle 2003,18.3,,12.57,0.022,11.518,0.026,10.918,0.023,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M5.5,0.5,"3,050.00",200,0.1200,,,,,,Line Strength,Ca II line flux,-64.9,6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,0.1,,,,,,,,,,,,,,,,3.31E+04,4.52,,,,,,,,1.58E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from Luhman 1999. Accretion rate equation 3
2MASS J16262152-2426009,GY 5,,,UPP,S,246.5897456,-24.43361126,p Oph,III,1,,2,136.5933616,-9.05,0.403,-25.287,0.25,,,5,,,,Muzerolle 2003,18.3,,12.57,0.022,11.518,0.026,10.918,0.023,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M5.5,0.5,"3,050.00",200,0.1200,,,,,,Line Strength,Ca II line flux,-64.9,6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,0.1,,,,,,,,,,,,,,,,3.31E+04,4.52,,,,,,,,2.51E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from Luhman 1999. Accretion rate equation 1
2MASS J03435526+3207533,IC348 256,,,UPP,S,55.9792,32.1314,IC348,II,2,,2,390.3048281,4.194,0.591,-7.208,0.327,15.35,0.404,1.28,,,,Flaherty 2013,,,13.682,0.027,13.01,0.03,12.634,0.028,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M5.75,0.5,"3,025.00",200,0.1200,,,,,,Line Strength,Ca II line flux,-23,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,0.1,,,,,,,,,,,,,,,,3.24E+04,4.51,,,,,,,,1.58E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",from fit to only low mass accretors
2MASS J03435526+3207533,IC348 256,,,UPP,S,55.9792,32.1314,IC348,II,2,,2,390.3048281,4.194,0.591,-7.208,0.327,15.35,0.404,1.28,,,,Flaherty 2013,,,13.682,0.027,13.01,0.03,12.634,0.028,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M5.75,0.5,"3,025.00",200,0.1200,,,,,,Line Strength,Ca II line flux,-23,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,0.1,,,,,,,,,,,,,,,,3.24E+04,4.51,,,,,,,,2.51E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",from fit to higher mass CTTS and low mass accretors
2MASS J04183030+2743208,KPNO Tau 11,,,UPP,S,64.625,27.7225,Taurus,III,1.5,,2,129.8937469,8.733,0.196,-26.265,0.145,15.54,0.191,1.5,4,,,Zhang 2018,,,11.886,0.021,11.271,0.027,11.007,0.021,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M5.5,0.5,"3,050.00",200,0.1300,,,,,,Line Strength,Ca II line flux,-17.7,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,0.1,,,,,,,,,,,,,,,,3.31E+04,4.52,,,,,,,,1.58E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3
2MASS J04183030+2743208,KPNO Tau 11,,,UPP,S,64.625,27.7225,Taurus,III,1.5,,2,129.8937469,8.733,0.196,-26.265,0.145,15.54,0.191,1.5,4,,,Zhang 2018,,,11.886,0.021,11.271,0.027,11.007,0.021,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M5.5,0.5,"3,050.00",200,0.1300,,,,,,Line Strength,Ca II line flux,-17.7,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,0.1,,,,,,,,,,,,,,,,3.31E+04,4.52,,,,,,,,2.51E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1
[NC98] Cha HA 2,Cha Ha 2,,,UPP,S,166.9292,-77.5664,Chamaeleon I,II,2,,,,,,,,12.4,1.68,0.8,,,,Natta 2004,,,12.21,0.024,11.243,0.026,10.675,0.021,,,Mohanty 2005,Magellan II/MIKE,2002/2003,4,,,M5.25,0.5,"3,100.00",200,0.1400,,,,,,Line Strength,Ca II line flux,-6.33E+01,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63E+04,4.56,,,,,,,,1.58E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",Mdot calculated from fit
[NC98] Cha HA 2,Cha Ha 2,,,UPP,S,166.9292,-77.5664,Chamaeleon I,II,2,,,,,,,,12.4,1.68,0.8,,,,Natta 2004,,,12.21,0.024,11.243,0.026,10.675,0.021,,,Mohanty 2005,Magellan II/MIKE,2002/2003,4,,,M5.25,0.5,"3,100.00",200,0.1400,,,,,,Line Strength,Ca II line flux,-6.33E+01,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63E+04,4.56,,,,,,,,2.51E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",
Cl* IC 348 LRL 165,Cl* IC 348 LRL 165,,,,S,56.1458,32.1489,IC348,II,2,,2,321.3264355,6.913,0.905,-8.647,0.539,14.39,0.611,2.41,,,,Muzerolle 2003,17.71,,13.25,0.024,12.309,0.024,11.826,0.024,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M5.25,0.5,"3,100.00",200,0.1400,,,,,,Line Strength,Ca II line flux,-23,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,0.1,,,,,,,,,,,,,,-1.10,0.11,3.98E+05,5.60,,,,,,,,1.26E-10,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3
Cl* IC 348 LRL 165,Cl* IC 348 LRL 165,,,,S,56.1458,32.1489,IC348,II,2,,2,321.3264355,6.913,0.905,-8.647,0.539,14.39,0.611,2.41,,,,Muzerolle 2003,17.71,,13.25,0.024,12.309,0.024,11.826,0.024,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M5.25,0.5,"3,100.00",200,0.1400,,,,,,Line Strength,Ca II line flux,-23,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,0.1,,,,,,,,,,,,,,-1.10,0.11,3.98E+05,5.60,,,,,,,,3.16E-10,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1
2MASS J04174955+2813318,KPNO Tau 10,,,UPP,S,64.4583,28.2256,Taurus,II,1.5,,2,137.3701852,8.81,0.238,-25.219,0.188,15.41,0.374,3.51,0.85,,,Zhang 2018,,,11.889,0.021,11.14,0.022,10.792,0.019,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M5.0,0.5,"3,125.00",200,0.1600,,,,,,Line Strength,Ca II line flux,-66.7,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,0.1,,,,,,,,,,,,,,,,3.80E+04,4.58,,,,,,,,2.00E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3
2MASS J04174955+2813318,KPNO Tau 10,,,UPP,S,64.4583,28.2256,Taurus,II,1.5,,2,137.3701852,8.81,0.238,-25.219,0.188,15.41,0.374,3.51,0.85,,,Zhang 2018,,,11.889,0.021,11.14,0.022,10.792,0.019,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M5.0,0.5,"3,125.00",200,0.1600,,,,,,Line Strength,Ca II line flux,-66.7,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,0.1,,,,,,,,,,,,,,,,3.80E+04,4.58,,,,,,,,3.16E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1
V* DH Tau B,DH Tau b,COM,2.31,,P,67.423583,26.549028,Taurus,II,4.34,,,145,,,,,,,0.7,0.5,,,Zhou 2014,,,15.71,0.05,14.96,0.04,14.19,0.02,,,Zhou 2014,HST/WFC3,2012,,145.0,15,,,"2,350.00",150,0.0105,0.009587727709,,,0.26718298,0.07193388,Excess,Excess Balmer,-450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.4,,3.16E-12,,Valenti 1993,Bowler 2011,T R M from previous literature
V* DH Tau B,DH Tau b,COM,2.31,,P,67.423583,26.549028,Taurus,II,4.34,,,145,,,,,,,0.7,0.5,,,Zhou 2014,,,15.71,0.05,14.96,0.04,14.19,0.02,,,Zhou 2014,HST/WFC3,2012,,145.0,15,,,"2,200.00",,0.0105,0.002876318313,,,0.271323,0.080392,Excess,Excess Balmer,-450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.4,,5.01E-12,,Valenti 1993,Bowler 2011,T R M from Zhou
NAME GSC 06214-00210B,GSC 6214-210 b,COM,2.19,,BD,245.47771,-20.71884,Upper Sco OB Association,U,5,6,,145,,,,,,,0.2,0.5,,,Bowler+2014,,,16.25,0.04,15.55,0.04,14.95,0.03,,,Zhou 2014,HST/WFC3,2012,,145.0,15,M9.5,,"2,700.00",200,0.0134,0.001908397,,,0.180882,0.050245,Excess,Excess Balmer,-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.7,,1.00E-11,,Valenti 1993,Bowler 2011,T R M from previous literature
NAME GSC 06214-00210B,GSC 6214-210 b,COM,2.19,,BD,245.47771,-20.71884,Upper Sco OB Association,U,5,6,,145,,,,,,,0.2,0.5,,,Bowler+2014,,,16.25,0.04,15.55,0.04,14.95,0.03,,,Zhou 2014,HST/WFC3,2012,,145.0,15,M9.5,,"2,200.00",,0.0143,0.002862595,,,0.180882,0.050245,Excess,Excess Balmer,-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.6,,1.58E-11,,Valenti 1993,Bowler 2011,T R M from Zhou
NAME Oph 11B,Oph J162225-240515B,COM,2.3,,BD,245.6042,-24.0878,Upper Scorpio,II,11,,,,-15.79,0.698,-23.236,0.52,,,0,,,,Herczeg 2009,,,15.24,0.03,14.64,0.03,14.03,0.03,,,Herczeg 2009,Keck I/LRIS,2008,,145.0,,M8.75,,"2,478.00",,0.0210,,0.001737800829,,0.23,,Excess,Excess Balmer,-270,,9.55E-16,,-360,,2.19E-16,,-410,,8.32E-17,,-320,,5.75E-17,,-160,,2.95E-17,,,,,,,,,,,,,,,,,,,,,,,,,,<40,,<5.01E-17,,<5,,<1E-17,,,,,,-190,,3.47E-17,,,,,,,,,,,,,,-6.2,,2.51E-13,,Herczeg 2008,,
GQ Lup b,GQ Lup b,COM,0.713,,BD,237.300375,-35.651083,Lupus,U,3,2,,155,,,,,,,1.6,0.5,,,Herczeg 2014,,,,,,,,,,,Zhou 2014,HST/WFC3,2012,,155.0,15,L1,1,"2,050.00",350,0.0229,0.011450382,,,0.462254,0.140686,Excess,Excess Balmer,-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9,,5.01E-10,,Valenti 1993,Bowler 2011,T R M from previous literature; NOT IN SIMBAD
2MASS J12073346-3932539,2MASS J12073346-3932539,,,,BD,181.8894483,-39.54833778,Taurus,,10,,2,64.41555765,-64.083,0.233,-23.72,0.13,7.5,2,0,0.5,,,Herczeg 2008,17.99,0.07,12.995,0.026,12.388,0.027,11.945,0.026,,,Herczeg 2008,Keck I/LRIS,2006,,140.0,15,M8,0.5,"2,550.00",75,0.0240,0.01,0.0022,,0.24,,Excess,Excess Balmer,-200,,1.21E-14,,-210,,1.90E-15,,-234,,1.19E-15,,-132,,8.80E-16,,,,7.10E-16,,,,,,,,,,,,,,,,,,,,,,,,,,-21,,3.80E-16,,-3.5,,1.50E-16,,-1.2,,1.00E-16,,-90,,1.20E-16,,-2.00E+02,7.10E-16,,<0.9,,3.00E-16,,,,,,,-5.3600,0.2000,1.70E-12,,Herczeg 2008,,uncertainty in Mdot = 0.6 dex
2MASS J12073346-3932539,2MASS J12073346-3932539,,,,BD,181.8894483,-39.54833778,Taurus,,10,,2,64.41555765,-64.083,0.233,-23.72,0.13,7.5,2,0,0.5,,,Herczeg 2008,17.99,0.07,12.995,0.026,12.388,0.027,11.945,0.026,,,Herczeg 2008,Keck I/LRIS,2007,,140.0,15,M8,0.5,"2,550.00",75,0.0240,0.01,0.0022,,0.24,,Excess,Excess Balmer,-396,,3.70E-14,,-341,,5.30E-15,,-286,,2.70E-15,,-323,,2.00E-15,,-142,,1.24E-15,,,,,,,,,,,,,,,,,,,,,,,,,,-33,,7.50E-16,,-4.2,,2.20E-16,,-1.6,,1.40E-16,,-36.36,,2.40E-16,,-1.96E+02,1.78E-15,,<0.8,,5.00E-16,,,,,,,-5.2100,0.2000,2.30E-12,,Herczeg 2008,,uncertainty in Mdot = 0.6 dex
2MASS J11020983-3430355,SSSPM J1102-3431,,,,BD,165.5417,-34.51,TW HyA,II,8,,2,59.76929054,-68.979,0.328,-13.805,0.285,,,0,,,,Herczeg 2009,19.14,0.04,13.034,0.024,12.356,0.022,11.887,0.024,,,Herczeg 2009,Keck I/LRIS,2008,,55.2,,M8.5,,"2,550.00",,0.0260,,0.0019498446,,0.23,,Excess,Excess Balmer,-50,,2.40E-15,,-95,,5.37E-16,,-150,,2.95E-16,,-130,,2.00E-16,,-120,,1.38E-16,,,,,,,,,,,,,,,,,,,,,,,,,,-7.5,,7.59E-17,,-1.7,,4.79E-17,,,,,,-100,,1.23E-16,,,,,,,,,,,,,,-6.3,,1.58E-13,,Herczeg 2008,,
2MASS J16072382-2211018,USco J160723.82-221102.0,,,UPP,BD,241.85,-22.1839,Upper Scorpio,II,11,,2,119.3061156,-17.958,2.804,-21.801,1.42,,,0.3,,,,Herczeg 2009,,,15.292,0.06,14.524,0.052,14.086,0.065,,,Herczeg 2009,Keck I/LRIS,2008,,145.0,,M8.5,,"2,550.00",,0.0270,,0.001819700859,,0.22,,Excess,Excess Balmer,-12,,1.41E+16,,0,,1.00E+00,,0,,1.00E+00,,0,,1.00E+00,,0,,1.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,<0.6,,<1E-17,,<0.4,,<1.26E-17,,,,,,0,,1.00E+00,,,,,,,,,,,,,,-4.8,,5.01E-12,,Herczeg 2008,,
GQ Lup b,GQ Lup b,COM,0.713,,BD,237.300375,-35.651083,Lupus,U,3,2,,155,,,,,,,1.6,0.5,,,Herczeg 2014,,,,,,,,,,,Zhou 2014,HST/WFC3,2012,,155.0,15,L1,1,"2,400.00",,0.0296,0.009541985,,,0.462254,0.140686,Excess,Excess Balmer,-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9,,5.01E-10,,Valenti 1993,Bowler 2011,T R M from Zhou; NOT IN SIMBAD
2MASS J16060374-2219298,Usco J160603.75-221930.0,,,,BD,241.5167,-22.325,Upper Scorpio,II,11,,,,,,,,,,0,,,,Herczeg 2009,,,15.811,0.004,14.949,0.067,14.55,0.086,,,Herczeg 2009,Keck I/LRIS,2008,,145.0,,M8.75,,"2,478.00",,0.0330,,0.000954992586,,0.17,,Excess,Excess Balmer,-760,,2.75E-15,,-330,,3.31E-16,,-270,,1.78E-16,,-170,,1.29E-16,,-83,,7.94E-17,,,,,,,,,,,,,,,,,,,,,,,,,,-46,,4.79E-17,,-8.2,,1.74E-17,,,,,,-25,,2.45E-17,,,,,,,,,,,,,,-5.6,,5.01E-13,,Herczeg 2008,,
2MASSW J1207334-393254,2MASS J12073346-3932539,,,,BD,181.8875,-39.5483,TW HyA,II,8,,2,64.41555765,-64.083,0.233,-23.72,0.13,7.5,2,0,,,,Herczeg 2009,17.99,0.07,12.995,0.026,12.388,0.027,11.945,0.026,,,Herczeg 2009,Keck I/LRIS,2008,,52.4,,M8.25,,"2,632.00",,0.0350,,0.001905460718,,0.21,,Excess,Excess Balmer,-126,,9.33E-15,,-194,,3.02E-15,,-260,,2.09E-15,,-230,,1.62E-15,,-130,,1.07E-15,,,,,,,,,,,,,,,,,,,,,,,,,,-29,,5.50E-16,,-5.9,,2.45E-16,,,,,,-32,,2.29E-16,,,,,,,,,,,,,,-5.3,,1.26E-12,,Herczeg 2008,,
2MASS J04414825+2534304,2MASS J04414825+2534304,,,,BD,70.45105083,25.57515806,Taurus,,10,,2,136.1618692,4.511,0.4,-19.605,0.251,15.22,0.333,1,0.5,,,Herczeg 2008,,,13.73,0.026,12.799,0.021,12.22,0.023,,,Herczeg 2008,Keck I/LRIS,2006,,140.0,15,M7.75,0.5,"2,752.00",75,0.0350,0.017,0.0033,,0.25,,Excess,Excess Balmer,-586,,1.70E-14,,-228,,1.60E-15,,-158,,8.50E-16,,-135,,6.10E-16,,-72,,3.60E-16,,,,,,,,,,,,,,,,,,,,,,,,,,-29,,4.10E-16,,-8.5,,2.10E-16,,-3.6,,1.30E-16,,-53,,2.10E-16,,-1.60E+02,6.20E-16,,-5.00E+00,,1.23E-15,,,,,,,-4.1700,0.2000,1.90E-11,,Herczeg 2008,,uncertainty in Mdot = 0.6 dex
2MASS J04442713+2512164,2MASS J04442713+2512164,,,,BD,71.11309208,25.20456639,Taurus,,3.981071706,,2,141.0138899,6.453,0.232,-20.154,0.107,,,0,0.5,,,Herczeg 2008,,,12.195,0.021,11.359,0.017,10.761,0.018,,,Herczeg 2008,Keck I/LRIS,2006,,140.0,15,M7.25,0.5,"2,838.00",75,0.0500,0.024,0.012,,0.45,,Excess,Excess Balmer,-100,,1.70E-14,,-126,,3.40E-15,,-94,,1.50E-15,,-62,,8.50E-16,,-49,,5.80E-16,,,,,,,,,,,,,,,,,,,,,,,,,,-12.4,,5.40E-16,,-1.4,,1.40E-16,,-0.7,,1.30E-16,,-49,,5.30E-16,,-8.30E+01,1.01E-15,,-2.90E-01,,2.80E-16,,,,,,,-4.5900,0.2000,9.20E-12,,Herczeg 2008,,uncertainty in Mdot = 0.6 dex
2MASS J04390396+2544264,2MASS J04390396+2544264,,,,BD,69.76650125,25.74064917,Taurus,,3.16227766,,2,143.9884809,7.037,0.362,-20.606,0.249,16.5,0.219,0.8,0.5,,,Herczeg 2008,18.4,,12.646,0.022,11.841,0.021,11.368,0.02,,,Herczeg 2008,Keck I/LRIS,2006,,140.0,15,M7.25,0.5,"2,838.00",75,0.0500,0.02,0.015,,0.51,,Excess,Excess Balmer,-158,,1.70E-14,,-93,,1.20E-15,,-93,,5.40E-16,,-87,,3.50E-16,,-73,,2.20E-16,,,,,,,,,,,,,,,,,,,,,,,,,,-11.2,,2.80E-16,,-1.8,,1.30E-16,,-0.5,,7.50E-17,,-38,,1.30E-16,,-9.30E+01,3.70E-16,,<0.8,,8.00E-16,,,,,,,-4.7700,0.2000,6.90E-12,,Herczeg 2008,,uncertainty in Mdot = 0.6 dex
DENIS J160603.9-205644,DENIS-P J160603.9-205644,,,,BD,241.5163271,-20.94567913,Upper Scorpio,II,11,,2,137.1497538,-13.191,0.547,-21.976,0.274,,,0,,,,Herczeg 2009,,,13.528,0.03,12.906,0.023,12.475,0.027,,,Herczeg 2009,Keck I/LRIS,2008,,145.0,,M7.25,,"2,838.00",,0.0500,,0.009332543008,,0.41,,Excess,Excess Balmer,-131,,8.32E-15,,-93,,9.77E-16,,-110,,3.72E-16,,-70,,2.29E-16,,-63,,1.58E-16,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,8.51E-17,,-2.4,,8.71E-17,,,,,,-170,,4.37E-16,,,,,,,,,,,,,,-5.1,,2.51E-12,,Herczeg 2008,,
NAME Oph 11A,Oph J162225-240515A,COM,2.3,UPP,BD,245.6042,-24.0872,Upper Scorpio,II,11,,2,136.1655773,-15.79,0.698,-23.236,0.52,,,0,,,,Herczeg 2009,,,14.53,0.03,14.01,0.03,13.55,0.03,,,Herczeg 2009,Keck I/LRIS,2008,,145.0,,M7.25,,"2,838.00",,0.0540,,0.003715352291,,0.25,,Excess,Excess Balmer,-20,,3.24E-16,,-11,,5.50E-17,,-38,,2.40E-17,,-19,,1.20E-17,,-3,,7.94E-19,,,,,,,,,,,,,,,,,,,,,,,,,,<3.8,,<2E-17,,<1.3,,<2E-17,,,,,,-40,,1.58E-17,,,,,,,,,,,,,,-6.6,,5.01E-14,,Herczeg 2008,,
2MASS J15591135-2338002,UScoCTIO 128,,,,BD,239.7958,-23.6333,Upper Scorpio,II,11,,2,139.9403854,-12.811,0.646,-25.735,0.358,,,0,,,,Herczeg 2009,,,14.395,0.035,13.61,0.04,13.207,0.035,,,Herczeg 2009,Keck I/LRIS,2008,,145.0,,M7,,"2,880.00",,0.0600,,0.004168693835,,0.26,,Excess,Excess Balmer,-102,,5.37E-15,,-160,,2.29E-15,,-230,,1.74E-15,,-200,,1.35E-15,,-120,,8.32E-16,,,,,,,,,,,,,,,,,,,,,,,,,,-24,,4.27E-15,,-6,,1.91E-16,,,,,,-54,,3.02E-16,,,,,,,,,,,,,,-4.6,,3.98E-12,,Herczeg 2008,,
